Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
9228,2682103113,"LICEUL CU PROGRAM SPORTIV ""SZASZ ADALBERT"" TÎRGU MUREȘ-CSS","LPS ""SZASZ ADALBERT"" TG. MUREŞ - CSS",TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Arondată,Club sportiv şcolar,Publică de interes naţional şi local
9229,1861105493,LICEUL CU PROGRAM SPORTIV TÂRGU JIU,LIC. CU PROGRAM SPORTIV TG-JIU,TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9230,1882106554,LICEUL CU PROGRAM SPORTIV TÂRGU JIU - CSS,LIC. CU PROGRAM SPORTIV TG-JIU - CSS,TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Arondată,Club sportiv şcolar,Publică de interes naţional şi local
9231,361104629,"LICEUL CU PROGRAM SPORTIV ""VIITORUL"" PITEȘTI",LPS PITEŞTI,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9232,5161103555,"LICEUL ""DANUBIUS"" CĂLĂRAȘI","LICEUL ""DANUBIUS"" CĂLĂRAȘI",CĂLĂRAŞI,MUNICIPIUL CĂLĂRAŞI,CĂLĂRAŞI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9233,3961100156,LICEUL DE AGRICULTURĂ ȘI INDUSTRIE ALIMENTARĂ ODOBEȘTI,LIC. DE AGRICULTURĂ ȘI IND. ALIMENTARĂ ODOBEȘTI,ODOBEŞTI,ORAŞ ODOBEŞTI,VRANCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9234,3961100952,"LICEUL DE ARTĂ ""GHEORGHE TATTARESCU"" FOCȘANI","LIC. DE ARTĂ ""GHEORGHE TATTARESCU"" FOCȘANI",FOCŞANI,MUNICIPIUL FOCŞANI,VRANCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9235,3161100928,"LICEUL DE ARTĂ ""IOAN SIMA"" ZALĂU","LIC.ARTĂ ""I.SIMA"" ZALĂU",ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9236,3561101507,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA","LIC. ARTA ""ION VIDU"" TIMIȘOARA",TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9237,3261101656,LICEUL DE ARTĂ SIBIU,LICEUL DE ARTĂ SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9238,761100022,LICEUL DE ARTĂ „ȘTEFAN LUCHIAN” BOTOȘANI,"LIC. ARTA ""ST.LUCHIAN"" BOTOSANI",BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9239,3061101772,"LICEUL DE ARTE ""AUREL POPP"" SATU MARE","LAR ”AUREL POPP"" SATU MARE",SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9240,1561100823,LICEUL DE ARTE ”BĂLAȘA DOAMNA” TÂRGOVIȘTE,LICEUL DE ARTE ”BĂLAȘA DOAMNA” TÂRGOVIȘTE,TÂRGOVIŞTE,MUNICIPIUL TÂRGOVIŞTE,DÂMBOVIŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9241,1861105656,"LICEUL DE ARTE ""CONSTANTIN BRĂILOIU"" TÂRGU JIU","LICEUL DE ARTE ""C-TIN BRĂILOIU"" TG-JIU",TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9242,661101219,"LICEUL DE ARTE ""CORNELIU BABA"" BISTRIȚA","LIC ""C.BABA"" BISTRITA",BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9243,1761100847,"LICEUL DE ARTE ""DIMITRIE CUCLIN"", MUNICIPIUL GALAȚI","LIC.ARTE ""D.CUCLIN"" GL",GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9244,361103429,"LICEUL DE ARTE ""DINU LIPATTI"" PITEȘTI",LIC. ARTE DINU LIPATTI PITEȘTI,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9245,1961104486,"LICEUL DE ARTE ""DR.PALLÓ IMRE"" ODORHEIU SECUIESC","LAR ""DR.PALLO IMRE"" ODORHEI",ODORHEIU SECUIESC,MUNICIPIUL ODORHEIU SECUIESC,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9246,3661100554,"LICEUL DE ARTE ""GEORGE GEORGESCU"" TULCEA","LICEUL ""G. GEORGESCU"" TULCEA",TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9247,961101897,"LICEUL DE ARTE ""HARICLEA DARCLEE""","LICEUL DE ARTE ""HARICLEA DARCLEE""",BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9248,2161101434,"LICEUL DE ARTE ""IONEL PERLEA"" SLOBOZIA","LICEUL DE ARTE ""IONEL PERLEA"" SLOBOZIA",SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9249,2561101975,"LICEUL DE ARTE ""I.ȘT.PAULIAN""","LIC.ART.""I.ST.PAULIAN""",DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9250,1061104667,"LICEUL DE ARTE ""MARGARETA STERIAN"" MUNICIPIUL BUZĂU",LIC. ARTE BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9251,1661105858,"LICEUL DE ARTE ""MARIN SORESCU"" CRAIOVA",LICEUL MARIN SORESCU CRAIOVA,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9252,1961104667,"LICEUL DE ARTE ""NAGY ISTVÁN"" MIERCUREA CIUC","LAR ""NAGY ISTVAN"" MIERCUREA CIUC",MIERCUREA CIUC,MUNICIPIUL MIERCUREA CIUC,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9253,561101311,LICEUL DE ARTE ORADEA,LICEUL DE ARTE ORADEA,ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9254,4061102807,Liceul de Arte Plastice „Nicolae Tonitza”,Liceul „N. Tonitza”,BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9255,3561101801,LICEUL DE ARTE PLASTICE TIMIȘOARA,LIC.ARTE PLASTICE TIMIȘOARA,TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9256,1461100811,"Liceul de Arte ""Plugor Sándor"" Sfântu Gheorghe","LIC. DE ARTE ""PLUGOR SÁNDOR"" SFÂNTU GHEORGHE",SFÂNTU GHEORGHE,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9257,161102716,"LICEUL DE ARTE ""REGINA MARIA"" ALBA IULIA",LIC. ARTE ALBA IULIA,ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9258,1161103538,LICEUL DE ARTE „SABIN PĂUŢA“ REŞIŢA,LIC DE ARTE „SABIN PĂUŢA“ REŞIŢA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9259,2061101128,"LICEUL DE ARTE ""SIGISMUND TODUȚĂ"" DEVA","LICEUL DE ARTE ""SIGISMUND TODUȚĂ"" DEVA",DEVA,MUNICIPIUL DEVA,HUNEDOARA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9260,2761101886,"LICEUL DE ARTE „VICTOR BRAUNER”, MUNICIPIUL PIATRA-NEAMȚ","LAVB, PIATRA-NEAMȚ",PIATRA-NEAMŢ,MUNICIPIUL PIATRA-NEAMŢ,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9261,3861105099,"LICEUL DE ARTE „VICTOR GIULEANUˮ, MUNICIPIUL RÂMNICU VÂLCEA",LIC V.GIULEANU RAMNICU VALCEA,RÂMNICU VÂLCEA,MUNICIPIUL RÂMNICU VÂLCEA,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9262,1261102608,"LICEUL DE ARTE VIZUALE ""ROMULUS LADEA"" CLUJ-NAPOCA","LICEUL DE ARTE VIZUALE ""ROMULUS LADEA"" CLUJ-NAPOC",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9263,4061101593,Liceul de Coregrafie „Floria Capsali”,Lic. de Coregrafie „F. Capsali”,BUCUREŞTI SECTORUL 4,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9264,1261103993,"LICEUL DE COREGRAFIE ȘI ARTĂ DRAMATICĂ ""OCTAVIAN STROIA"" CLUJ-NAPOCA","LICEUL DE COREGRAFIE ""OCTAVIAN STROIA"" CLUJ",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9265,1661105071,LICEUL DE INDUSTRIE ALIMENTARĂ CRAIOVA,LICEUL DE INDUSTRIE ALIMENTARA CRAIOVA,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9266,1261103369,"LICEUL DE INFORMATICĂ ""TIBERIU POPOVICIU"" CLUJ-NAPOCA","LICEUL DE INFORMATICĂ ""TIBERIU POPOVICIU"" CLUJ",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9267,1361100229,LICEUL DE MARINĂ CONSTANŢA,LIC DE MARINĂ CȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9268,661101151,"LICEUL DE MUZICĂ ""TUDOR JARDA"" BISTRIȚA","LIC MUZICĂ ""T.JARDA"" BISTRITA",BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9269,2561101387,LICEUL DE TRANSPORTURI AUTO,LIC. AUTO,DROBETA-TURNU SEVERIN,MUNICIPIUL DROBETA-TURNU SEVERIN,MEHEDINŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9270,1761101043,"LICEUL DE TRANSPORTURI AUTO ""TRAIAN VUIA"", MUNICIPIUL GALAȚI","LIC.AUTO ""T.VUIA"" GL",GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9271,1761100684,"LICEUL DE TURISM ȘI ALIMENTAȚIE ""DUMITRU MOȚOC"", MUNICIPIUL GALAȚI","LIC.""D.MOȚOC"" GL",GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9272,761105235,LICEUL „DEMOSTENE BOTEZ” TRUŞEŞTI,"LICEUL ""DEMOSTENE BOTEZ"" TRUSESTI",TRUŞEŞTI,TRUŞEŞTI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9273,3661101528,"LICEUL ""DIMITRIE CANTEMIR"" BABADAG",LICEUL BABADAG,BABADAG,ORAŞ BABADAG,TULCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9274,761104528,LICEUL „DIMITRIE CANTEMIR” DARABANI,"LICEUL ""DIMITRIE CANTEMIR"" DARABANI",DARABANI,ORAŞ DARABANI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9275,761100067,"LICEUL ""DIMITRIE NEGREANU"" BOTOSANI","LICEUL ""DIMITRIE NEGREANU""",BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9276,4061101955,"Liceul ""Dimitrie Paciurea""","Lic. ""Dimitrie Paciurea""",BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9277,561201508,"LICEUL „DON ORIONE"" ORADEA","LICEUL „DON ORIONE"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Privată
9278,161100085,"LICEUL ""DR. LAZĂR CHIRILĂ"" BAIA DE ARIEȘ",LIC. BAIA DE ARIEȘ,BAIA DE ARIEŞ,ORAŞ BAIA DE ARIEŞ,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9279,961201963,"LICEUL ""DR. LUCA""","LICEUL ""DR LUCA""",BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Unitate de învățământ,Privată
9280,1961104753,"LICEUL ""DR.P. BOROS FORTUNAT"" ZETEA","LIT ""DR.P. BOROS FORTUNAT"" ZETEA",ZETEA,ZETEA,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9281,2761102702,"LICEUL ECONOMIC „ALEXANDRU IOAN CUZA”, MUNICIPIUL PIATRA-NEAMȚ","LEAIC, PIATRA-NEAMȚ",PIATRA-NEAMŢ,MUNICIPIUL PIATRA-NEAMŢ,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9282,1461100779,"Liceul Economic ""Berde Áron"" Sfântu Gheorghe","LIC. EC. ""BERDE ÁRON"" SFÂNTU GHEORGHE",SFÂNTU GHEORGHE,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9283,661103691,LICEUL ECONOMIC NĂSĂUD,LIC EC NĂSĂUD,NĂSĂUD,ORAŞ NĂSĂUD,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9284,4061100687,Liceul Economic Nr. 1,Liceul Economic Nr. 1,BUCUREŞTI SECTORUL 4,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9285,2861100445,"LICEUL ECONOMIC ""PETRE S.AURELIAN"" SLATINA","LICEUL ECONOMIC ""P.S.AURELIAN"" SLATINA",SLATINA,MUNICIPIUL SLATINA,OLT,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9286,1361100446,LICEUL ECONOMIC ’VIRGIL MADGEARU’ CONSTANŢA,LIC EC ’VIRGIL MADGEARU’ CȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9287,1361205734,LICEUL 'EDUCAȚIA VIITORULUI' CONSTANȚA,LIC EDUC VIITORULUI,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Privată
9288,1361100862,LICEUL ENERGETIC CONSTANȚA,LIC ENERGETIC CȚA,CONSTANŢA,MUNICIPIUL CONSTANŢA,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9289,1661104337,LICEUL ENERGETIC CRAIOVA,LICEUL ENERGETIC CRAIOVA,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9290,1861105362,LICEUL ENERGETIC TÂRGU JIU,LIC. ENERGETIC TG-JIU,TÂRGU JIU,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9291,2261207206,"LICEUL ""EUROED"", IAȘI",LIC EUROED IASI,IAŞI,MUNICIPIUL IAŞI,IAŞI,Cu personalitate juridică,Unitate de învățământ,Privată
9292,4061206637,Liceul European Bilingv,Liceul European Bilingv,BUCUREŞTI SECTORUL 4,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9293,4061205057,LICEUL FEG,LICEUL FEG,BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9294,3861100931,"LICEUL „GEORGE ȚĂRNEA”, ORAȘ BĂBENI",LIC GEORGE TARNEA BABENI,BĂBENI,ORAŞ BĂBENI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9295,2361202692,LICEUL GERMAN ”HERMANN OBERTH” VOLUNTARI,LICEUL GERMAN ”HERMANN OBERTH” VOLUNTARI,VOLUNTARI,ORAŞ VOLUNTARI,ILFOV,Cu personalitate juridică,Unitate de învățământ,Privată
9296,161105633,LICEUL GERMAN SEBEȘ,LIC. GERMAN SEBEȘ,SEBEŞ,MUNICIPIUL SEBEŞ,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9297,2761102046,"LICEUL „GH. RUSET ROZNOVANU”, ORAȘ ROZNOV","L „GH. RUSET ROZNOVANU”, ROZNOV",ROZNOV,ORAŞ ROZNOV,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9298,3861100949,"LICEUL „GHEORGHE SURDU”, ORAȘ BREZOI",LIC GH. SURDU BREZOI,BREZOI,ORAŞ BREZOI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9299,1861105914,"LICEUL ""GHEORGHE TĂTĂRESCU"" ROVINARI","LIC. ""GHEORGHE TĂTĂRESCU"" ROVINARI",ROVINARI,ORAŞ ROVINARI,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9300,1261102757,"LICEUL GRECO-CATOLIC ""INOCHENTIE MICU"" CLUJ-NAPOCA","LICEUL GRECO-CATOLIC ""INOCHENTIE MICU"" CLUJ-NAPOC",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9301,561108431,"LICEUL GRECO-CATOLIC „IULIU MANIU"" ORADEA","LICEUL GRECO-CATOLIC „IULIU MANIU"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9302,4061103672,Liceul Greco-Catolic „Timotei Cipariu”,Lic. Greco-Catolic „Timotei Cipariu”,BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9303,1161104376,"LICEUL ""HERCULES"" BAILE HERCULANE","LIC ""HERCULES"" BAILE HERCULANE",BĂILE HERCULANE,ORAŞ BĂILE HERCULANE,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9304,161102892,"LICEUL ""HOREA, CLOȘCA ȘI CRIȘAN"" ABRUD","LIC ""HCC"" ABRUD",ABRUD,ORAŞ ABRUD,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9305,561208854,"LICEUL INTERNAŢIONAL „AGORA"" ORADEA","LICEUL INTERNAȚIONAL „AGORA"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Privată
9306,2461203814,LICEUL INTERNAȚIONAL BAIA MARE,LICEUL INTERNATIONAL BM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Privată
9307,1261201736,"LICEUL INTERNAȚIONAL DE INFORMATICĂ ""SPECTRUM"" CLUJ-NAPOCA","LICEUL INTERNAȚIONAL DE INFORMATICĂ ""SPECTRUM""",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Privată
9308,4061205835,Liceul Internațional IOANID,Liceul IOANID,BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9309,4061206049,Liceul Internațional „King George”,Liceul Internațional „King George”,BUCUREŞTI SECTORUL 6,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9310,861204746,Liceul Internațional 'PREMS',Liceul Internațional 'PREMS',BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Cu personalitate juridică,Unitate de învățământ,Privată
9311,261104377,"LICEUL ""IOAN BUTEANU"" GURAHONŢ","LICEUL ""IOAN BUTEANU"" GURAHONŢ",GURAHONŢ,GURAHONŢ,ARAD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9312,1461100137,"Liceul ""Kőrösi Csoma Sándor"" Covasna","LIC. ""KŐRÖSI CSOMA SÁNDOR"" COVASNA",COVASNA,ORAŞ COVASNA,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9313,2361202914,LICEUL ”MAARIF - INTERNATIONAL SCHOOL OF BUCHAREST” VOLUNTARI,LIC. ”MAARIF INTERNATIONAL SCHOOL” VOLUNTARI,VOLUNTARI,ORAŞ VOLUNTARI,ILFOV,Cu personalitate juridică,Unitate de învățământ,Privată
9314,1961104694,"LICEUL ""MARIN PREDA"" ODORHEIU SECUIESC","LIT ""MARIN PREDA"" ODORHEI",ODORHEIU SECUIESC,MUNICIPIUL ODORHEIU SECUIESC,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9315,1661104708,"LICEUL ""MATEI BASARAB"" CRAIOVA",LICEUL MATEI BASARAB CRAIOVA,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9316,1161103954,LICEUL „MATHIAS HAMMER“ ANINA,LIC „MATHIAS HAMMER“ ANINA,ANINA,ORAŞ ANINA,CARAŞ-SEVERIN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9317,1861105439,LICEUL MĂTĂSARI,LIC. MĂTĂSARI,MĂTĂSARI,MĂTĂSARI,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9318,1882106735,"LICEUL ""MIHAI VITEAZUL"" BUMBESTI-JIU","LIC. ""M.VITEAZUL"" BUMBESTI-JIU",BUMBEŞTI-JIU,ORAŞ BUMBEŞTI-JIU,GORJ,Arondată,Club sportiv şcolar,Publică de interes naţional şi local
9319,1861105484,"LICEUL ""MIHAI VITEAZUL"" BUMBEȘTI-JIU","LIC. ""M.VITEAZUL"" BUMBEȘTI-JIU",BUMBEŞTI-JIU,ORAŞ BUMBEŞTI-JIU,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9320,2761102738,"LICEUL „MIHAIL SADOVEANU”, COMUNA BORCA","L „MIHAIL SADOVEANU”, BORCA",BORCA,BORCA,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9321,1961104563,"LICEUL ""MIRON CRISTEA"" SUBCETATE","LIT ""MIRON CRISTEA"" SUBCETATE",SUBCETATE,SUBCETATE,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9322,1261205265,LICEUL MONTESSORI CLUJ,LICEUL MONTESSORI CLUJ,CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Privată
9323,3561201704,"LICEUL ""MONTESSORI"" TIMIȘOARA","LIC. ""MONTESSORI"" TIMIȘOARA",TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Unitate de învățământ,Privată
9324,3361203121,"LICEUL ""NATANAEL"" SUCEAVA","LICEUL ""NATANAEL"" SUCEAVA",SUCEAVA,MUNICIPIUL SUCEAVA,SUCEAVA,Cu personalitate juridică,Unitate de învățământ,Privată
9325,261104992,LICEUL NAŢIONAL DE INFORMATICĂ ARAD,LICEUL NAŢIONAL DE INFORMATICĂ ARAD,ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9326,4061210004,Liceul „Nicolae Steinhardt”,Liceul „Nicolae Steinhardt”,BUCUREŞTI SECTORUL 5,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9327,561100798,"LICEUL ORTODOX „EPISCOP ROMAN CIOROGARIU"" ORADEA","LICEUL ORTODOX „EPISCOP ROMAN CIOROGARIU"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9328,3161100082,"LICEUL ORTODOX ""SF. NICOLAE"" ZALĂU","LIC.ORTODOX ""SF. NICOLAE"" ZALĂU",ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9329,2761201798,"LICEUL PARTICULAR NR. 1, SAT BISTRIȚA, COMUNA ALEXANDRU CEL BUN","L PART NR. 1, SAT BISTRIȚA",BISTRIŢA,ALEXANDRU CEL BUN,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Privată
9330,4061204445,"LICEUL PARTICULAR ""ONICESCU-MIHOC""","LICEUL PARTICULAR ""ONICESCU-MIHOC""",BUCUREŞTI SECTORUL 1,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9331,4061204721,"Liceul Pedagogic ""Anastasia Popescu""","Liceul ""Anastasia Popescu""",BUCUREŞTI SECTORUL 2,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9332,1961103797,"LICEUL PEDAGOGIC ""BENEDEK ELEK"" ODORHEIU SECUIESC","LIT ""BENEDEK ELEK"" ODORHEI",ODORHEIU SECUIESC,MUNICIPIUL ODORHEIU SECUIESC,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
