Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
2603,962100878,GRĂDINIŢA CU PROGRAM NORMAL CONSTANTIN GABRIELESCU,GRĂDINIŢA CU PROGRAM NORMAL GABRIELESCU,CONSTANTIN GABRIELESCU,BORDEI VERDE,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2604,1762101812,"GRĂDINIȚA CU PROGRAM NORMAL ""CONSTANTIN LAZĂR"", SAT NEGREA, COMUNA SCHELA","GPN ""C-TIN LAZĂR"" NEGREA",NEGREA,SCHELA,GALAŢI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2605,962100607,GRĂDINIŢA CU PROGRAM NORMAL CONSTANTINEŞTI,GRĂDINIŢA CU PROGRAM NORMAL CONSTANTINEŞTI,CONSTANTINEŞTI,RÂMNICELU,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2606,3462103022,GRĂDINIȚA CU PROGRAM NORMAL CONȚEȘTI,GRĂD CU PN CONȚEȘTI,CONŢEŞTI,CONŢEŞTI,TELEORMAN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2607,1162104652,GRĂDINIŢA CU PROGRAM NORMAL COPĂCELE,GPN COPACELE,COPĂCELE,COPĂCELE,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2608,3962101451,GRĂDINIȚA CU PROGRAM NORMAL COPĂCEȘTI,GRĂD.PR.NORMAL COPĂCEȘTI,COPĂCEŞTI,RUGINEŞTI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2609,1862103957,"GRĂDINIȚA CU PROGRAM NORMAL COPĂCIOASA, SCOARȚA","GRĂD. CU P. N. COPĂCIOASA, SCOARȚA",COPĂCIOASA,SCOARŢA,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2610,1262105484,"GRĂDINIȚA CU PROGRAM NORMAL COPCEA, COM. MĂRIȘEL","GRĂDINIȚA CU PN COPCEA, COM. MĂRIȘEL",MĂRIŞEL,MĂRIŞEL,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2611,2862103163,"GRĂDINIȚA CU PROGRAM NORMAL ""CORABIA PITICILOR"" CORABIA","GPN ""CORABIA PITICILOR"" CORABIA",CORABIA,ORAŞ CORABIA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2612,1562102965,GRĂDINIȚA CU PROGRAM NORMAL CORBII MARI,GPN CORBII MARI,CORBII MARI,CORBII MARI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2613,362100349,GRĂDINIȚA CU PROGRAM NORMAL CORBU,GPN CORBU,COŞEŞTI,COŞEŞTI,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2614,962102731,GRĂDINIŢA CU PROGRAM NORMAL CORBU NOU,GRĂDINIŢA CU PROGRAM NORMAL CORBU NOU,CORBU NOU,MĂXINENI,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2615,962102749,GRĂDINIŢA CU PROGRAM NORMAL CORBU VECHI,GRĂDINIŢA CU PROGRAM NORMAL CORBU VECHI,CORBU VECHI,MĂXINENI,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2616,3362104766,GRĂDINIȚA CU PROGRAM NORMAL CORLATA,GPN CORLATA,CORLATA,BERCHISESTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2617,1662101411,GRĂDINIȚA CU PROGRAM NORMAL CORLATE,GRADINITA CORLATE,CORLATE,IZVOARE,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2618,462107029,GRĂDINIŢA CU PROGRAM NORMAL CORNĂȚEL,GRĂDINIŢA CU PROGRAM NORMAL CORNĂȚEL,CORNĂŢEL,URECHEŞTI,BACĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
